"hospital_nombre","categoria","clave","descripcion","stock","minimo","fecha","dias_restantes"
"Hospital General Papantla Dr.Jose Buill Belenguer","bienesInformaticos","S/C","COMPUTADORA DE ESCRITORIO MEDIO RENDIMIENTO WINDOWS",1,1,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","bienesInformaticos","S/C","UNIDAD DE ENERGÍA ININTERRUMPIDA TIPO 3. INTERACTIVO, CAPACIDAD DE 500 VA/300 WATSS.",1,0,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","equipo","S/C","CÁMARA INTRAORAL DIGITAL.",1,NULL,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","equipo","531.385.1080","ESTERILIZADOR CON VAPOR AUTOGENERADO PARA DENTAL Y MAXILOFACIAL",1,0,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","equipo","531.562.0020","LÁMPARA DE FOTOCURADO DE RESINAS Y CEMENTOS FOTOPOLIMERIZABLES",1,1,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","equipo","531.032.0055","MEZCLADOR DE CÁPSULAS DENTALES, TIPO DOSIFICADOR-AMALGAMADOR (MEZCLA CÁPSULAS DE CEMENTO DE IONÓMERO DE VIDRIO Y OTROS CEMENTOS PREDOSIFICADOS EN CÁPSULAS) 4000 RPM",1,NULL,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","equipo","537.480.0042","PIEZA DE MANO DE ALTA VELOCIDAD",2,1,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","equipo","437.480.0034","PIEZA DE MANO DE BAJA VELOCIDAD CON CONTRAÁNGULO",2,1,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","equipo","531.291.0028","UNIDAD ESTOMATOLÓGICA CON MÓDULO INTEGRADO",1,1,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","equipo","531.341.2305","UNIDAD RADIOLÓGICA DENTAL INCLUYE SENSOR DIGITAL INTRAORAL (RADIOVISIÓGRAFO)",1,1,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","equipo","515.957.0109","UNIDAD ULTRASÓNICA ESTOMATOLÓGICA",1,0,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.025.0069","ALVEOLOTOMO MEAD PINZA GUBIA LONGITUD 17CM",1,1,"0024-11-29",-731001
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.025.0069","ALVEOLOTOMO MEAD PINZA GUBIA LONGITUD 17CM",1,1,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.065.0052","APLICADOR DE HIDROXIDO DE CALCIO",5,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","535.260.2154","CUCHARILLA LUCAS DE DOBLE EXTREMO 17CM DE LONGITUD",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.327.0551","ELEVADOR APICAL FLOHR MANGO METALICO BRAZO ANGULAR EXTREMO FINO CORTO DERECHO",1,0,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.327.0700","ELEVADOR APICAL FLOHR MANGO METALICO BRAZO ANGULAR EXTREMO FINO CORTO IZQUIERDO",1,0,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.327.2664","ELEVADOR BEIN CON MANGO METALICO RECTO ACALANADO DE 4MM.",1,0,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.327.0452","ELEVADOR BEIN CON MANGO METALICO RECTO ACANALADO DE 2 O 3 MM ANCHO DE HOJA",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.327.1534","ELEVADOR SELDIN DE BANDERA DERECHO HOJA GRANDE",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.327.2805","ELEVADOR SELDIN DE BANDERA DERECHO HOJA PEQUEÑA",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.327.2813","ELEVADOR SELDIN DE BANDERA IZQUIERDA HOJA PEQUEÑA",1,0,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.327.1609","ELEVADOR SELDIN DE BANDERA IZQUIERDO HOJA GRANDE",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.370.0029","ESPÁTULA METÁLICA No.3 DOBLE EXTREMO (RECTANGULAR Y PUNTA LANZA)",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.383.0081","ESPEJO DENTAL ROSCA SENCILLA PLANO SIN AUMENTO NO.5",20,0,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.397.0168","EXCAVADOR TIPO WHITE No.17",10,5,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.409.0531","EXPLORADOR DE UNA PIEZA CON DOBLE EXTREMO NO.5",10,3,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0221","FÓRCEPS NO.101",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0197","FÓRCEPS NO.150",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0189","FÓRCEPS NO. 151",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0171","FÓRCEPS NO.17",1,1,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0023","FÓRCEPS. NO 23.",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0460","FÓRCEPS NO.53 DERECHO",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0270","FÓRCEPS NO.53 IZQUIERDO",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0155","FÓRCEPS NO.65",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0411","FÓRCEPS NO.69",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0726","FÓRCEPS PARA ODONTECTOMÍAS DEL No. 210",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.426.0734","FÓRCEPS PARA ODONTECTOMÍAS DEL No. 222",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.547.0019","JERINGA CARPULE CON ADAPTADOR PARA AGUJA DESECHABLE",10,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","S/C","JUEGO DE GRAPAS",1,NULL,"2024-12-04",-511
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","S/C","JUEGO DE PROFILAXIS 8 INSTRUMENTOS",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","535.567.0059","LEGRA MEAD MANGO RECTO DOBLE EXTREMO",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.583.0105","LIMA MILLER O COLBURN, DOBLE EXTREMO No. 10c O No. 3",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.602.0409","MANGO PARA ESPEJO DENTAL METALICO MACIZO ROSCA SENCILLA",10,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.703.7493","PINZA AINSWORTH LONGITUD DE 160 A 165 MM",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.702.0531","PINZA BREWER PORTA GRAPAS PARA DIQUE DE HULE",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.703.9598","PINZA COLLEGE O LONDON-COLLEGE TIPO BAYONETA",10,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.719.0052","PORTA MATRIZ PARA BANDA DE CELULOIDE",1,NULL,"2024-11-29",-516
"Hospital General Papantla Dr.Jose Buill Belenguer","instrumental","537.860.0018","TIRAPUENTE MILLER CON TRES PUNTAS DIFERENTES",1,NULL,"2024-11-29",-516
