"hospital_clave","hospital_nombre","categoria","uid","clave","descripcion","stock","minimo","fecha","dias_restantes","observaciones","color","manual","saved_at"
"VZIM004710","Hospital de la Comunidad de Tempoal","insumos",NULL,"","BENZOCAINA GEL",0,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391675-0bk4w2","S/C","ÁCIDO FOSFÓRICO AL 34% O 37% PARA GRABADO DE ESMALTE O DENTINA.",4,1,"2026-05-31",4,"buena vigencia","#FDE2E5",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391675-t7irsz","060.182.0178","CEMENTO DE IONOMERO, DE VIDRIO RESTAURATIVO II. COLOR NO 21. POLVO 15 G. SILICATO DE ALUMINIO 95% - 97%. ACIDO POLIACRILICO 3% - 5%. LIQUIDO: 10 G, 8 ML. ACIDO POLIACRILICO 75%. ACIDO TARTÁRICO 10% - 15%. BARNIZ COMPATIBLE LIQUIDO 10 G.",1,1,"2026-06-30",34,"","#FDE2E5",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391675-lv0yvt","","CUÑAS DE MADERA PARA ESPACIOS INTERDENTARIOS",5,NULL,"2026-06-30",34,"","#FDE2E5",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391675-exu9i1","060.066.1078","BARNIZ DE FLUORURO DE SODIO AL 5% EN UNA CONCENTRACIÓN DE 22600 PPM AUTOPOLIMERIZABLE, EN UN VEHÍCULO DE RESINA MODIFICADO.",5,1,"2026-08-31",96,"","#FDE2E5",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391675-53wqi3","","ROLLOS DE ALGODON AGLUTINADO",4,NULL,"2026-09-30",126,"","#FDE2E5",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-wdgqtt","","CEMENTO DE IONOMERO DE VIDRIO TIPO II",4,NULL,"2027-02-28",277,"","#FFF7E0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-ny8wye","","CEMENTO DE IONOMERO DE VIDRIO I PARA CEMENTACIONES DEFINITIVAS",2,NULL,"2027-03-31",308,"","#FFF7E0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-9qy8w9","","RESINA DE CURADO A LA LUZ MICROHIBRIDA",2,NULL,"2027-03-31",308,"","#FFF7E0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-itr5b4","","EYECTORES PARA SALIVA DE PLASTICO DESECHABLES",16,NULL,"2027-04-30",338,"","#FFF7E0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-q43f2d","","HILO SEDA DENTAL SIN CERA",30,NULL,"2027-05-26",364,"","#FFF7E0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-9usu0f","","GRABADOR DE ESMALTE DE ACIDO FOSFORICO",4,NULL,"2027-05-31",369,"","#FFF7E0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-sogxfw","060.182.1366","CEMENTOS DENTALES. PARA USO QUIRÚRGICO. DE OXIDO DE ZINC CON ENDURECEDOR (POLVO) 65 G Y EUGENOL (LIQUIDO) 30 ML. CON GOTERO DE PLÁSTICO.",2,1,"2027-06-30",399,"","#E8F9F0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-ibv1qj","","L9OCETA DE VIDRIO  PARA BATIR CEMENTO DE 8X12X0.5 CM",1,NULL,"2027-06-30",399,"","#E8F9F0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-56hji6","","APLICADOR DE PLASTICO DESECHABLE PARA BARNICES U OTRAS SOLUCIONES",5,NULL,"2027-08-21",451,"","#E8F9F0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-0mngl0","","CEPILLO PARA PULIDO DE AMALGAMAS Y PROFILAXIS CERDAS EN FORMA DE BROCHA",95,NULL,"2027-10-31",522,"","#E8F9F0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-m5s9e1","","CEPILLO PARA PULIDO DE AMALGAMAS",25,NULL,"2027-12-31",583,"","#E8F9F0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-qo1gfn","","CEMENTO DENTAL PARA RESTAURACION INTERMEDIA  DE OXIDO DE ZINC",3,NULL,"2028-01-31",614,"","#E8F9F0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-tgo9hd","","CEMENTO DENTAL DE IONOMERO DE VIDRIO",1,NULL,"2028-05-31",735,"","#E8F9F0",False,"2026-05-27 19:16:45.136709"
"VZIM004710","Hospital de la Comunidad de Tempoal","material","uid-1779909391676-vn845n","060.082.0310","APLICADORES, APLICADOR PLASTICO DESECHABLE PARA MATERIALES, ENVASE CON 100 APLICADORES GRUESOS",1,NULL,"2028-07-31",796,"","#E8F9F0",False,"2026-05-27 19:16:45.136709"
